Raw trade stream 
 

BTC-USD  		  Quantity
59239.17 	 	 0.00744 
59239.18 	 	 0.00521 
59239.18 	 	 0.00049 
59239.17 	 	 0.00389 
59239.17 	 	 0.04346 
59239.17 	 	 0.00021 
59239.17 	 	 0.02183 
59239.17 	 	 0.01448 
59239.17 	 	 0.02000 
59239.18 	 	 0.00016 
59239.18 	 	 0.00020 
59239.18 	 	 0.00019 
59239.17 	 	 0.00048 
59239.17 	 	 0.00172 
59239.18 	 	 0.00017 
59239.18 	 	 0.01218 
59239.18 	 	 0.00760 
59239.17 	 	 0.00084 
59239.18 	 	 0.06759 
59239.18 	 	 0.00425 
59239.18 	 	 0.00827 
59239.18 	 	 0.00472 
59239.18 	 	 0.00083 
59239.18 	 	 0.00936 
59239.18 	 	 0.00844 
59239.17 	 	 0.00018 
59239.17 	 	 0.00127 
59239.17 	 	 0.01836 
59239.17 	 	 0.02244 
59239.17 	 	 0.01978 
59239.17 	 	 0.00064 
59239.18 	 	 0.00273 
59239.17 	 	 0.02399 
59239.17 	 	 0.00858 
59239.18 	 	 0.00168 
59239.17 	 	 0.00066 
59239.17 	 	 0.00085 
59239.18 	 	 0.00810 
59239.17 	 	 0.00072 
59239.18 	 	 0.00084 
59239.18 	 	 0.00022 
59239.17 	 	 0.02654 
59239.17 	 	 0.03395 
59239.17 	 	 0.00170 
59239.18 	 	 0.00438 
59239.17 	 	 0.00020 
59239.18 	 	 0.03455 
59239.18 	 	 0.00059 
59239.17 	 	 0.00499 
59239.17 	 	 0.00430 
59239.17 	 	 0.07106 
59239.18 	 	 0.00050 
59239.17 	 	 0.01764 
59239.18 	 	 0.00563 
59239.18 	 	 0.00019 
59239.17 	 	 0.00018 
59239.17 	 	 0.16412 
59239.17 	 	 0.00977 
59239.17 	 	 0.01676 
59239.17 	 	 0.00023 
59239.17 	 	 0.00093 
59239.18 	 	 0.00048 
59239.17 	 	 0.00252 
59239.17 	 	 0.00844 
59239.17 	 	 0.00844 
59239.17 	 	 0.00844 
59239.18 	 	 0.00271 
59239.18 	 	 0.00181 
59239.18 	 	 0.00020 
59239.18 	 	 0.00020 
59239.18 	 	 0.00353 
59239.17 	 	 0.00579 
59239.17 	 	 0.00288 
59239.17 	 	 0.01244 
59239.17 	 	 0.00039 
59239.17 	 	 0.00581 
59239.17 	 	 0.00874 
59239.17 	 	 0.00020 
59239.17 	 	 0.00789 
59239.17 	 	 0.00053 
59239.17 	 	 0.00264 
59239.15 	 	 0.00121 
59239.15 	 	 0.00460 
59234.18 	 	 0.00066 
59234.19 	 	 0.00099 
59234.18 	 	 0.00083 
59234.18 	 	 0.01006 
59234.18 	 	 0.00679 
59234.18 	 	 0.00092 
59234.18 	 	 0.00500 
59234.18 	 	 0.00094 
59234.18 	 	 0.00434 
59234.19 	 	 0.03367 
59234.19 	 	 0.09958 
59234.18 	 	 0.00001 
59234.17 	 	 0.00019 
59231.37 	 	 0.00178 
59230.48 	 	 0.00862 
59229.35 	 	 0.00937 
59225.20 	 	 0.00398 
59225.19 	 	 0.00498 
59225.20 	 	 0.23602 
59225.20 	 	 0.14297 
59225.19 	 	 0.00398 
59225.20 	 	 0.00025 
59225.20 	 	 0.00901 
59225.19 	 	 0.00280 
59225.19 	 	 0.00261 
59225.19 	 	 0.00067 
59225.20 	 	 0.00090 
59225.19 	 	 0.01879 
59225.20 	 	 0.00134 
59225.19 	 	 0.00018 
59225.20 	 	 0.00025 
59225.20 	 	 0.00026 
59225.19 	 	 0.00103 
59225.19 	 	 0.00048 
59225.19 	 	 0.00635 
59225.19 	 	 0.00095 
59225.19 	 	 0.00474 
59225.20 	 	 0.03299 
59225.20 	 	 0.01578 
59225.19 	 	 0.00839 

 
Aggregated volume prices 
 

BTC-USD  		  Quantity
59225.19 	 	 0.05595
59225.20 	 	 0.44375
59229.35 	 	 0.00937
59230.48 	 	 0.00862
59231.37 	 	 0.00178
59234.17 	 	 0.00019
59234.18 	 	 0.02955
59234.19 	 	 0.13424
59239.15 	 	 0.00581
59239.17 	 	 0.63934
59239.18 	 	 0.19800
